NPS;FLANGE_OD;FLANGE_THK;HUB_DIA;CHAMFER;HEIGHT;BORE;BCD;BHD;NOBOLTS;RF_HEIGHT;RF_OD
0,5;95;12,7;38;21,3;51;15,7;66,5;15,875;4;1,5;35,1
0,75;117;14,2;48;26,7;56;20,8;82,6;19,05;4;1,5;42,9
1;124;15,7;54;33,5;60;26,7;88,9;19,05;4;1,5;50,8
1,25;133;17,5;64;42,2;64;35,1;98,6;19,05;4;1,5;63,5
1,5;155;19,0;70;48,3;67;40,9;114,3;22,23;4;1,5;73,0
2;165;20,6;84;60,5;68;52,6;127,0;19,05;8;1,5;91,9
2,5;190;23,9;100;73,2;75;62,7;149,4;22,23;8;1,5;104,6
3;210;26,9;117;88,9;78;78,0;168,1;22,23;8;1,5;127,0
3,5;229;28,4;133;101,6;80;90,2;184,2;22,23;8;1,5;139,7
4;254;30,2;146;114,3;84;102,4;200,2;22,23;8;1,5;157,2
5;279;33,3;178;141,2;97;128,3;235,0;22,23;8;1,5;185,7
6;318;35,1;206;168,4;97;154,2;269,7;22,23;12;1,5;215,9
8;381;39,6;260;219,2;110;202,7;330,2;25,40;12;1,5;269,7
10;444;46,0;321;273,0;116;254,5;387,4;28,58;16;1,5;323,8
12;521;49,3;375;323,8;129;304,8;450,8;31,75;16;1,5;381,0
14;584;52,3;425;355,6;141;;514,4;31,75;20;1,5;412,8
16;648;55,6;483;406,4;145;;571,5;34,93;20;1,5;469,9
18;711;58,7;533;457,2;157;;628,6;34,93;24;1,5;533,4
20;775;62,0;587;508,0;161;;685,8;34,93;24;1,5;584,2
22;838;65,0;641;558,8;164;;743,0;41,28;24;1,5;641,4
24;914;68,3;702;609,6;167;;812,8;41,28;24;1,5;692,2
